listing_id,neighbourhood,room_type,latitude,longitude,price,number_of_reviews
935292240677359973,Brislington West,Entire home/apt,51.43958,-2.55193,NA,22
21366101,St George Troopers Hill,Entire home/apt,51.45561,-2.52862,58,12
1141050413309151527,Clifton Down,Private room,51.459635418173434,-2.6102181950276786,119,0
14390717,Horfield,Private room,51.49245,-2.59862,36,153
8387021,Lawrence Hill,Private room,51.46258,-2.56678,26,54
42913036,Lockleaze,Private room,51.49338,-2.575,24,174
30398903,Brislington West,Entire home/apt,51.4395,-2.55258,75,117
33291040,St George Troopers Hill,Entire home/apt,51.45429,-2.53226,127,413
1170780942814130133,Central,Entire home/apt,51.45481,-2.60159,NA,1
1175961957286154887,Hotwells & Harbourside,Entire home/apt,51.450031722471266,-2.610836438834667,245,17
1302080078458997926,St George West,Entire home/apt,51.4608853,-2.5433588,135,4
1018228839414310535,Eastville,Entire home/apt,51.47544,-2.54698,NA,4
833034603632532809,Clifton,Entire home/apt,51.4551844,-2.6139426,160,106
984023040833038825,Central,Entire home/apt,51.46197,-2.60361,121,3
15176944,Cotham,Entire home/apt,51.46764,-2.6069,57,301
20619258,Clifton,Entire home/apt,51.45611,-2.61026,86,102
625319591516237759,Hotwells & Harbourside,Entire home/apt,51.454727,-2.606111,121,3
19438226,Central,Private room,51.44778,-2.59275,51,493
578803783030599438,Clifton Down,Entire home/apt,51.46733,-2.60987,126,93
934590164043611344,Bishopsworth,Entire home/apt,51.4299068,-2.6114261,73,54
1295645893752029967,Ashley,Private room,51.4657405,-2.5893359,50,10
391093,Redland,Private room,51.477821350097656,-2.5919950008392334,51,101
780273802816502564,Clifton Down,Entire home/apt,51.460015208310445,-2.6150258551559413,64,29
837025534100234783,St George West,Private room,51.458247,-2.5472029,47,41
28516856,Cotham,Private room,51.46157,-2.60154,95,2
1172337237323670789,Hotwells & Harbourside,Entire home/apt,51.4550102,-2.6041519,166,1
1140495262506786005,Avonmouth & Lawrence Weston,Private room,51.48534,-2.67501,49,11
4315598,Hotwells & Harbourside,Private room,51.44716,-2.6039,75,380
51119304,Frome Vale,Entire home/apt,51.48954,-2.5356900000000002,55,53
3365141,Ashley,Private room,51.46949,-2.58385,68,485
1239817469533600020,Stoke Bishop,Entire home/apt,51.48976,-2.64935,143,0
50654599,Horfield,Private room,51.49083,-2.5852,46,148
35265468,Avonmouth & Lawrence Weston,Private room,51.48896,-2.67253,41,4
42261018,Clifton Down,Entire home/apt,51.4656,-2.61748,79,430
13133203,Avonmouth & Lawrence Weston,Entire home/apt,51.496395111083984,-2.64626407623291,185,1
932450154906507262,Central,Entire home/apt,51.460604,-2.5931229,78,14
800736961266992960,Avonmouth & Lawrence Weston,Private room,51.48542,-2.67969,32,7
978761888260899789,Central,Entire home/apt,51.4539328,-2.6000476,61,17
965170005575709631,Ashley,Private room,51.47116,-2.58976,54,53
1134011363693879787,Clifton,Entire home/apt,51.45167,-2.61169,NA,1
1144039678752931524,Bishopston & Ashley Down,Entire home/apt,51.4835507,-2.5818115,NA,15
11620357,Cotham,Entire home/apt,51.46532,-2.60176,141,77
1294772780465733342,Easton,Entire home/apt,51.46394,-2.55327,104,4
1120089434356222463,St George West,Private room,51.46161,-2.54026,36,0
707974116451745979,Avonmouth & Lawrence Weston,Private room,51.49455,-2.65096,51,15
1226706090097419597,Bishopston & Ashley Down,Private room,51.4791038,-2.5778953,46,37
1338291939142222322,Central,Entire home/apt,51.4547779,-2.6029008,138,1
27830423,Redland,Private room,51.47831,-2.59606,40,52
1277520868723411053,Lawrence Hill,Entire home/apt,51.44785561924004,-2.5742739446930276,80,17
15223307,Clifton Down,Entire home/apt,51.46461,-2.60598,122,128
53675108,Eastville,Private room,51.47013,-2.55912,40,1
983963230561554776,Central,Entire home/apt,51.46058,-2.60281,111,7
14599886,Clifton Down,Entire home/apt,51.470718,-2.61406,64,159
653467388476451644,Central,Entire home/apt,51.44856,-2.59441,135,55
13982286,Southville,Private room,51.44117,-2.60729,58,124
1224767857197929190,Horfield,Private room,51.4956016,-2.5753515,42,13
1170902096053565446,Cotham,Entire home/apt,51.46867,-2.60265,NA,4
